CPF;NOME;ENDERECO;BAIRRO;CIDADE;ESTADO;CEP;"DATA DE NASCIMENTO";IDADE;GENERO
1471156710;"Érica Carvalho";"R. Iriquitia";Jardins;"São Paulo";SP;80012212;1990-09-01;27;F
19290992743;"Fernando Cavalcante";"R. Dois de Fevereiro";"Água Santa";"Rio de Janeiro";RJ;22000000;2000-02-12;18;M
2600586709;"César Teixeira";"Rua Conde de Bonfim";Tijuca;"Rio de Janeiro";RJ;22020001;2000-03-12;18;M
3623344710;"Marcos Nougeuira";"Av. Pastor Martin Luther King Junior";Inhauma;"Rio de Janeiro";RJ;22002012;1995-01-13;23;M
492472718;"Eduardo Jorge";"R. Volta Grande";Tijuca;"Rio de Janeiro";RJ;22012002;1994-07-19;23;M
50534475787;"Abel Silva";"Rua Humaitá";Humaitá;"Rio de Janeiro";RJ;22000212;1995-09-11;22;M
5576228758;"Petra Oliveira";"R. Benício de Abreu";Lapa;"São Paulo";SP;88192029;1995-11-14;22;F
5648641702;"Paulo César Mattos";"Rua Hélio Beltrão";Tijuca;"Rio de Janeiro";RJ;21002020;1991-08-30;26;M
5840119709;"Gabriel Araujo";"R. Manuel de Oliveira";"Santo Amaro";"São Paulo";SP;80010221;1985-03-16;32;M
7771579779;"Marcelo Mattos";"R. Eduardo Luís Lopes";Brás;"São Paulo";SP;88202912;1992-03-25;25;M
8502682733;"Valdeci da Silva";"R. Srg. Édison de Oliveira";Jardins;"São Paulo";SP;82122020;1995-10-07;22;M
8719655770;"Carlos Eduardo";"Av. Gen. Guedes da Fontoura";Jardins;"São Paulo";SP;81192002;1983-12-20;34;M
9283760794;"Edson Meilelles";"R. Pinto de Azevedo";"Cidade Nova";"Rio de Janeiro";RJ;22002002;1995-10-07;22;M
94387575700;"Walber Lontra";"R. Cel. Almeida";Piedade;"Rio de Janeiro";RJ;22000201;1989-06-20;28;M
95939180787;"Fábio Carvalho";"R. dos Jacarandás da Península";"Barra da Tijuca";"Rio de Janeiro";RJ;22002020;1992-01-05;16;M
